left_hip_pitch_joint,right_hip_pitch_joint,left_hip_roll_joint,right_hip_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,left_knee_joint,right_knee_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,left_ankle_roll_joint,right_ankle_roll_joint
-0.020005,0.495307,-0.030134,-0.055014,0.266993,-0.049852,0.263284,-0.000000,-0.350000,0.113079,-0.100000,-0.100000
-0.015487,0.489727,-0.028976,-0.055278,0.271252,-0.049188,0.265614,0.000000,-0.350000,0.110473,-0.100000,-0.100000
-0.010919,0.483745,-0.026972,-0.055436,0.275857,-0.047959,0.267341,-0.000000,-0.350000,0.106859,-0.100000,-0.100000
-0.005952,0.477491,-0.024019,-0.055276,0.281018,-0.045316,0.268642,-0.000004,-0.350000,0.100750,-0.100000,-0.100000
-0.000321,0.471260,-0.020190,-0.054387,0.286503,-0.041064,0.270144,-0.000030,-0.350000,0.090219,-0.100000,-0.100000
0.005866,0.465786,-0.015689,-0.052145,0.291509,-0.036446,0.273152,-0.001076,-0.350000,0.074111,-0.100000,-0.099933
0.011784,0.462567,-0.010863,-0.048092,0.295371,-0.033898,0.278907,-0.005483,-0.350000,0.054958,-0.099994,-0.098090
0.016997,0.461547,-0.005647,-0.041675,0.297837,-0.034089,0.287605,-0.013011,-0.349558,0.036986,-0.097510,-0.093245
0.021693,0.461530,0.000227,-0.033282,0.298648,-0.035992,0.298082,-0.022843,-0.344845,0.022862,-0.089425,-0.089129
0.026526,0.460962,0.006595,-0.024026,0.297988,-0.037634,0.308903,-0.033954,-0.334520,0.013102,-0.077324,-0.086441
0.032175,0.458035,0.013563,-0.015175,0.296315,-0.037001,0.319738,-0.045211,-0.319699,0.007213,-0.062336,-0.084442
0.038418,0.452576,0.020870,-0.006981,0.294254,-0.035345,0.331236,-0.055735,-0.301982,0.003108,-0.045903,-0.081986
0.044785,0.445139,0.028229,0.000906,0.291857,-0.035005,0.344483,-0.065516,-0.281870,-0.000045,-0.028525,-0.077959
0.050849,0.436587,0.035263,0.008997,0.288672,-0.037568,0.360573,-0.075157,-0.259534,-0.002154,-0.010424,-0.071298
0.056064,0.427149,0.041607,0.017830,0.283335,-0.043166,0.381496,-0.085158,-0.233794,-0.002126,0.009055,-0.060965
0.057652,0.415741,0.047585,0.028469,0.273795,-0.051276,0.412008,-0.095866,-0.199056,0.002652,0.034169,-0.044748
0.057661,0.401877,0.052121,0.038312,0.261324,-0.058039,0.449398,-0.103460,-0.162394,0.011174,0.056642,-0.028993
0.053322,0.384559,0.055470,0.047135,0.246693,-0.062468,0.496296,-0.107018,-0.121808,0.023180,0.078118,-0.014398
0.042666,0.363610,0.057680,0.054521,0.230754,-0.064443,0.553355,-0.106191,-0.077077,0.037466,0.098624,-0.001495
0.016709,0.338179,0.055481,0.060597,0.207098,-0.065517,0.627499,-0.099927,-0.028446,0.054367,0.100000,0.010686
-0.012239,0.315284,0.057546,0.065064,0.176320,-0.067072,0.695676,-0.093482,0.006357,0.067195,0.100000,0.018837
-0.045302,0.294088,0.066190,0.068901,0.137722,-0.070231,0.753307,-0.087440,0.022741,0.077659,0.100000,0.024213
-0.085131,0.272692,0.078421,0.072783,0.095415,-0.076395,0.802138,-0.080424,0.015088,0.087504,0.096977,0.027276
-0.126071,0.251128,0.087364,0.076845,0.056235,-0.085852,0.836363,-0.072601,-0.019501,0.095659,0.078357,0.026964
-0.165120,0.228914,0.089307,0.080798,0.024923,-0.097874,0.855907,-0.064182,-0.070790,0.102137,0.051980,0.023531
-0.202309,0.206320,0.085459,0.083974,0.000829,-0.110880,0.863532,-0.055689,-0.125999,0.107790,0.026645,0.018218
-0.238077,0.184017,0.079056,0.086148,-0.018934,-0.124084,0.860634,-0.047712,-0.176666,0.113206,0.005995,0.012206
-0.272336,0.162650,0.073384,0.087438,-0.037300,-0.137474,0.847607,-0.041069,-0.218153,0.118742,-0.009826,0.006434
-0.304163,0.142834,0.070425,0.087922,-0.055667,-0.151294,0.822570,-0.036784,-0.248049,0.124997,-0.022095,0.001636
-0.333548,0.124724,0.069570,0.087883,-0.073907,-0.165060,0.787380,-0.034900,-0.268899,0.132303,-0.032704,-0.002111
-0.360661,0.108548,0.069956,0.087579,-0.091231,-0.178272,0.743134,-0.035401,-0.281646,0.140669,-0.041849,-0.004830
-0.385635,0.093860,0.070211,0.087153,-0.105398,-0.190905,0.691524,-0.037745,-0.286708,0.149878,-0.048672,-0.006631
-0.408033,0.079387,0.068683,0.086438,-0.112423,-0.202971,0.633587,-0.040720,-0.284286,0.159811,-0.051372,-0.007642
-0.427503,0.064279,0.065478,0.085220,-0.111515,-0.214202,0.570095,-0.043283,-0.276671,0.170304,-0.049325,-0.008163
-0.444118,0.049004,0.062570,0.083626,-0.106620,-0.224785,0.502084,-0.045734,-0.266640,0.180995,-0.044675,-0.008407
-0.457989,0.034488,0.061702,0.082091,-0.102212,-0.235169,0.431067,-0.048885,-0.254818,0.191709,-0.040159,-0.008272
-0.469593,0.021500,0.063497,0.081046,-0.101441,-0.245684,0.359439,-0.053166,-0.240024,0.202669,-0.037216,-0.007446
-0.479503,0.010491,0.067496,0.080793,-0.105073,-0.256246,0.290500,-0.058662,-0.219348,0.214219,-0.035016,-0.005589
-0.488432,0.000746,0.072096,0.081040,-0.109885,-0.266488,0.226012,-0.064858,-0.192826,0.226239,-0.031494,-0.003176
-0.498525,-0.007697,0.075994,0.081111,-0.112928,-0.275060,0.173129,-0.070711,-0.168231,0.236697,-0.026358,-0.001178
-0.505437,-0.016597,0.080169,0.081499,-0.114546,-0.284505,0.118610,-0.077768,-0.136952,0.249327,-0.018181,0.000575
-0.512336,-0.024111,0.082704,0.081373,-0.114796,-0.291838,0.077689,-0.084517,-0.114887,0.259007,-0.009835,0.001167
-0.516587,-0.031714,0.084905,0.081039,-0.115888,-0.299694,0.042606,-0.092342,-0.095361,0.268629,-0.000775,0.000610
-0.517664,-0.039229,0.086759,0.080347,-0.119361,-0.307343,0.014838,-0.101071,-0.078397,0.277989,0.007331,-0.000980
-0.517931,-0.046829,0.088459,0.078983,-0.125513,-0.314260,0.001385,-0.110450,-0.065885,0.286932,0.012769,-0.003398
-0.518072,-0.054665,0.089906,0.076829,-0.133546,-0.320676,0.000000,-0.120045,-0.059246,0.295464,0.014987,-0.006842
-0.514000,-0.062637,0.090253,0.073601,-0.141340,-0.327249,0.000000,-0.129237,-0.056892,0.303072,0.014026,-0.011703
-0.506962,-0.070673,0.089702,0.069325,-0.146890,-0.334454,0.000000,-0.137812,-0.057847,0.309403,0.011437,-0.017745
-0.497944,-0.078361,0.088470,0.063973,-0.149688,-0.342596,0.000000,-0.145766,-0.060917,0.314203,0.007505,-0.024782
-0.487573,-0.085226,0.086431,0.057522,-0.151041,-0.351479,-0.000000,-0.153488,-0.062168,0.317197,0.001405,-0.032513
-0.477021,-0.090734,0.082898,0.049901,-0.153481,-0.360160,0.000196,-0.161937,-0.055775,0.317798,-0.008207,-0.040337
-0.469409,-0.094817,0.077074,0.041288,-0.156326,-0.367512,0.004142,-0.172253,-0.041291,0.315421,-0.020987,-0.047809
-0.466625,-0.098115,0.068503,0.032101,-0.155267,-0.372927,0.015465,-0.184901,-0.024346,0.309758,-0.034427,-0.055393
-0.467626,-0.101417,0.057188,0.022828,-0.148002,-0.375767,0.032641,-0.199910,-0.009716,0.300420,-0.045955,-0.064091
-0.469971,-0.105403,0.044271,0.014016,-0.136827,-0.375395,0.052933,-0.217036,-0.000040,0.287118,-0.054636,-0.074947
-0.470349,-0.110356,0.031571,0.006392,-0.126736,-0.371338,0.072228,-0.236572,0.002551,0.268737,-0.061596,-0.089302
-0.466988,-0.114632,0.019095,0.001516,-0.119316,-0.364590,0.088527,-0.260498,-0.002508,0.243336,-0.069958,-0.099853
-0.458473,-0.116809,0.006829,0.001203,-0.114723,-0.356286,0.099896,-0.291013,-0.015238,0.210352,-0.080410,-0.100000
-0.444207,-0.117000,-0.005085,0.003358,-0.112125,-0.347518,0.104087,-0.328942,-0.031132,0.172520,-0.089762,-0.100000
-0.425949,-0.113626,-0.017883,0.008398,-0.106504,-0.336844,0.103675,-0.377132,-0.048201,0.128927,-0.096473,-0.100000
-0.405555,-0.105437,-0.028866,0.017693,-0.096561,-0.323637,0.102148,-0.435602,-0.065206,0.079584,-0.099479,-0.100000
-0.383843,-0.084753,-0.036598,0.030974,-0.083732,-0.306289,0.099843,-0.508725,-0.082403,0.023521,-0.100000,-0.100000
-0.361349,-0.051643,-0.042207,0.044713,-0.070562,-0.283745,0.095652,-0.591934,-0.097607,-0.029809,-0.100000,-0.100000
-0.337893,-0.011409,-0.046837,0.054431,-0.058903,-0.256079,0.089060,-0.673605,-0.109222,-0.063210,-0.100000,-0.100000
-0.313245,0.037095,-0.051074,0.058186,-0.047679,-0.224182,0.080845,-0.749171,-0.118751,-0.055905,-0.100000,-0.100000
-0.288851,0.090290,-0.055146,0.057728,-0.035998,-0.193180,0.073581,-0.817740,-0.127769,-0.012630,-0.100000,-0.100000
-0.265435,0.145862,-0.058731,0.054764,-0.023771,-0.164710,0.068103,-0.878602,-0.136635,0.050703,-0.100000,-0.100000
-0.243650,0.197613,-0.061286,0.049988,-0.012819,-0.139995,0.064772,-0.920758,-0.144107,0.108847,-0.100000,-0.100000
-0.222487,0.249930,-0.062846,0.043906,-0.001699,-0.114757,0.061070,-0.951744,-0.150958,0.160749,-0.100000,-0.100000
-0.202524,0.301426,-0.063437,0.037078,0.009032,-0.089937,0.057451,-0.969461,-0.156553,0.203732,-0.100000,-0.100000
-0.184299,0.349781,-0.063278,0.030157,0.019199,-0.068194,0.055108,-0.970429,-0.161081,0.236836,-0.100000,-0.100000
-0.168708,0.392264,-0.062646,0.024005,0.027524,-0.052956,0.055349,-0.952868,-0.164489,0.259166,-0.100000,-0.100000
-0.154790,0.431448,-0.061637,0.017767,0.035800,-0.041125,0.056967,-0.920362,-0.168328,0.274379,-0.100000,-0.100000
-0.142581,0.466158,-0.060512,0.010940,0.044433,-0.031251,0.059696,-0.873837,-0.173092,0.282257,-0.100000,-0.100000
-0.131515,0.494348,-0.059685,0.003973,0.053627,-0.022078,0.063746,-0.812100,-0.179096,0.280659,-0.100000,-0.099423
-0.121277,0.514501,-0.059403,-0.001311,0.062771,-0.014370,0.069276,-0.734913,-0.186510,0.268775,-0.100000,-0.096232
-0.111727,0.529572,-0.059672,-0.003681,0.070259,-0.011524,0.075593,-0.651784,-0.194420,0.253719,-0.100000,-0.093104
-0.102096,0.539413,-0.060565,-0.004349,0.077072,-0.015630,0.082140,-0.562715,-0.203964,0.237331,-0.100000,-0.093445
-0.092112,0.544271,-0.061891,-0.004766,0.083944,-0.026865,0.088960,-0.470327,-0.215324,0.220079,-0.100000,-0.096852
-0.081791,0.542395,-0.063592,-0.005988,0.091141,-0.043429,0.096844,-0.371647,-0.229439,0.197251,-0.100000,-0.099711
-0.072392,0.541398,-0.065179,-0.007715,0.097729,-0.061174,0.104983,-0.282397,-0.243379,0.175274,-0.100000,-0.100000
-0.063727,0.542176,-0.066665,-0.010216,0.103634,-0.077462,0.113534,-0.206167,-0.256836,0.156283,-0.100000,-0.100000
-0.056302,0.547428,-0.067711,-0.011962,0.108113,-0.086976,0.121218,-0.152862,-0.267051,0.145950,-0.100000,-0.100000
-0.048113,0.549277,-0.068863,-0.013502,0.112556,-0.091357,0.130160,-0.103604,-0.278438,0.135668,-0.100000,-0.100000
-0.039536,0.547982,-0.069877,-0.014865,0.116598,-0.088695,0.139921,-0.061180,-0.290245,0.125941,-0.100000,-0.100000
-0.030722,0.544165,-0.070601,-0.016156,0.120364,-0.079413,0.150062,-0.026342,-0.301980,0.116899,-0.100000,-0.100000
-0.021849,0.539000,-0.070740,-0.017294,0.124144,-0.065898,0.160223,-0.001354,-0.313179,0.108923,-0.100000,-0.100000
-0.013070,0.539186,-0.069931,-0.018147,0.128544,-0.053041,0.170411,-0.000003,-0.323411,0.106306,-0.100000,-0.100000
-0.005376,0.537648,-0.068054,-0.019398,0.134129,-0.044439,0.180396,-0.000000,-0.332586,0.104738,-0.100000,-0.100000
0.001477,0.532531,-0.065234,-0.021019,0.141121,-0.040428,0.190226,-0.000000,-0.340597,0.101098,-0.100000,-0.100000
0.007892,0.523957,-0.061492,-0.022588,0.149351,-0.038468,0.200069,-0.000000,-0.347295,0.092963,-0.100000,-0.098465
0.013722,0.512953,-0.056474,-0.022798,0.158514,-0.034962,0.210186,-0.000013,-0.349962,0.077215,-0.100000,-0.091387
0.018924,0.502472,-0.050479,-0.020488,0.167601,-0.030425,0.221288,-0.001057,-0.350000,0.055998,-0.100000,-0.081186
0.023760,0.494542,-0.044355,-0.014552,0.174820,-0.027297,0.234596,-0.004762,-0.349127,0.034083,-0.100000,-0.071580
0.028574,0.488555,-0.039222,-0.005141,0.177797,-0.026382,0.250200,-0.009504,-0.344551,0.016245,-0.100000,-0.065864
0.034187,0.481970,-0.035803,0.006057,0.174987,-0.026739,0.268246,-0.013856,-0.334786,0.005271,-0.099398,-0.065439
0.040661,0.472185,-0.032757,0.016744,0.167581,-0.027327,0.289392,-0.017439,-0.319752,0.000375,-0.090913,-0.069574
0.045484,0.457684,-0.028489,0.026245,0.156828,-0.028453,0.317287,-0.019909,-0.297344,-0.000781,-0.072304,-0.077547
0.047126,0.439216,-0.023151,0.033657,0.145007,-0.030470,0.353164,-0.020909,-0.268450,0.000145,-0.047042,-0.086112
0.045957,0.418318,-0.018088,0.039209,0.133560,-0.033406,0.397256,-0.020527,-0.235155,0.002256,-0.020718,-0.090662
